trial,HP_H_UNITS,HP_FILTERS,HP_POOL,HP_KERNEL,HP_EPOCHS,HP_BATCH,HP_LR,HP_L2_LAMBDA
1,50,100,3,3,200,64,0.001,0.01
2,50,100,3,3,200,64,0.01,0.01
3,50,100,5,3,200,64,0.001,0.01
4,50,100,5,3,200,64,0.01,0.01
5,50,100,3,5,200,64,0.001,0.01
6,50,100,3,5,200,64,0.01,0.01
7,50,100,5,5,200,64,0.001,0.01
8,50,100,5,5,200,64,0.01,0.01
9,60,100,3,3,200,64,0.001,0.01
10,60,100,3,3,200,64,0.01,0.01
11,60,100,5,3,200,64,0.001,0.01
12,60,100,5,3,200,64,0.01,0.01
13,60,100,3,5,200,64,0.001,0.01
14,60,100,3,5,200,64,0.01,0.01
15,60,100,5,5,200,64,0.001,0.01
16,60,100,5,5,200,64,0.01,0.01
17,70,100,3,3,200,64,0.001,0.01
18,70,100,3,3,200,64,0.01,0.01
19,70,100,5,3,200,64,0.001,0.01
20,70,100,5,3,200,64,0.01,0.01
21,70,100,3,5,200,64,0.001,0.01
22,70,100,3,5,200,64,0.01,0.01
23,70,100,5,5,200,64,0.001,0.01
24,70,100,5,5,200,64,0.01,0.01
