trial,HP_H_UNITS,HP_LSTM_UNITS,HP_EPOCHS,HP_BATCH,HP_LR,HP_L2_LAMBDA
1,128,64,300,32,0.0001,0.001
2,128,64,300,32,0.0001,0.01
3,128,64,300,32,0.001,0.001
4,128,64,300,32,0.001,0.01
5,128,64,300,32,0.01,0.001
6,128,64,300,32,0.01,0.01
7,128,64,300,64,0.0001,0.001
8,128,64,300,64,0.0001,0.01
9,128,64,300,64,0.001,0.001
10,128,64,300,64,0.001,0.01
11,128,64,300,64,0.01,0.001
12,128,64,300,64,0.01,0.01
13,128,64,300,128,0.0001,0.001
14,128,64,300,128,0.0001,0.01
15,128,64,300,128,0.001,0.001
16,128,64,300,128,0.001,0.01
17,128,64,300,128,0.01,0.001
18,128,64,300,128,0.01,0.01
19,128,128,300,32,0.0001,0.001
20,128,128,300,32,0.0001,0.01
21,128,128,300,32,0.001,0.001
22,128,128,300,32,0.001,0.01
23,128,128,300,32,0.01,0.001
24,128,128,300,32,0.01,0.01
25,128,128,300,64,0.0001,0.001
26,128,128,300,64,0.0001,0.01
27,128,128,300,64,0.001,0.001
28,128,128,300,64,0.001,0.01
29,128,128,300,64,0.01,0.001
30,128,128,300,64,0.01,0.01
31,128,128,300,128,0.0001,0.001
32,128,128,300,128,0.0001,0.01
33,128,128,300,128,0.001,0.001
34,128,128,300,128,0.001,0.01
35,128,128,300,128,0.01,0.001
36,128,128,300,128,0.01,0.01
37,128,256,300,32,0.0001,0.001
38,128,256,300,32,0.0001,0.01
39,128,256,300,32,0.001,0.001
40,128,256,300,32,0.001,0.01
41,128,256,300,32,0.01,0.001
42,128,256,300,32,0.01,0.01
43,128,256,300,64,0.0001,0.001
44,128,256,300,64,0.0001,0.01
45,128,256,300,64,0.001,0.001
46,128,256,300,64,0.001,0.01
47,128,256,300,64,0.01,0.001
48,128,256,300,64,0.01,0.01
49,128,256,300,128,0.0001,0.001
50,128,256,300,128,0.0001,0.01
51,128,256,300,128,0.001,0.001
52,128,256,300,128,0.001,0.01
53,128,256,300,128,0.01,0.001
54,128,256,300,128,0.01,0.01
